"monastery_id","name","from","to"
"311","Cisterciens","1128","1790"
"312","Cisterciennes","1162","1761"
"312","Cisterciennes","1998","-"
"313","bénédictins","IXe siècle","1189"
"313","Cisterciens","1189","1791"
"313","Trappistines","1938","-"
"314","Cisterciens","1137","1791"
"315","Cisterciens","1574","1791"
"316","Cisterciens","1132","1791"
"317","Cisterciennes","1241","?"
"318","Cisterciens","1229","1790"
"319","Cisterciennes","1227","?"
"320","Cisterciennes","1349","1600"
"320","Cisterciennes","1600","1790"
"321","Cisterciens","1175","1596"
"322","Cisterciennes","?","?"
"323","Cisterciennes","1349","1750"
"324","Cisterciennes","1167","?"
"325","Cisterciens","1130","1791"
"326","Cisterciens","1135","1608"
"327","Cisterciennes","1167","?"
"328","Bénédictines","1234","1435"
"328","Cisterciennes","1435","?"
"329","Bénédictines","1225","1791"
"329","Cisterciennes","1225","1791"
"330","Cisterciennes","1353","1574"
"331","Cisterciennes","1200","1792"
"332","Cisterciens","1127","1569"
"333","Cisterciennes","1239","1790 ?"
"334","Cisterciens","1147","1791 ?"
"335","Cisterciens","1168","1791"
"336","Cisterciens","1148","1791"
"336","Cisterciens","1926","-"
"337","Cisterciens","1132","1791"
"337","Trappistes","1845","-"
"338","Cisterciens","1135","1791"
"339","Cisterciens","1144","1790"
"340","Cisterciens","1135","1791"
"341","Cisterciens","1136","1789"
"341","Dominicains","1970","-"
"342","Cisterciens","1173","1321"
"343","Cisterciens","1133","1793"
"343","Trappistes","1860","1880"
"343","Trappistes","1881","-"
"344","Cisterciennes","1200","1623"
"344","Cisterciennes","1623","1789"
"345","Cisterciens","1131","1790 ?"
"346","Cisterciens","1160","1791"
"347","Trappistes","1841","-"
"349","Cisterciens","1160","1791"
"350","Cisterciens","1841","-"
"351","Cisterciennes","1228","?"
"352","Cisterciens","1137","1790"
"353","Cisterciens","1118","1790"
"354","Cisterciens","1149","1790"
"355","Cisterciennes","1841","2012"
"356","Cisterciens","1173","1270"
"357","Cisterciennes","1820","1834"
"357","Cisterciennes","1837","1905"
"358","Cisterciens","1125","1790"
"359","Cisterciennes","1134","1635"
"360","Valliscauliens","1184","1761"
"360","Cisterciens","1761","1790"
"361","Valliscauliens","1146","1155"
"361","Cisterciens","1155","1791"
"362","Cisterciennes","1252","?"
"363","Cisterciens","1156","1791"
"364","Cisterciens","1184","1791"
"365","Cisterciens","1242","1734"
"366","Cisterciens","1188","1791"
"367","Cisterciens","1230","1791"
"368","Cisterciens","1147","1791"
"369","Cisterciens","1138","1791"
"370","Cisterciens","1159","1789"
"371","Cisterciens","1150","1790"
"372","Cisterciens","1180","1425"
"372","Cisterciens","1660","1792"
"373","Cisterciennes","1217","1375"
"373","Cisterciennes","1375","?"
"374","Cisterciens","1148","1791"
"375","Cisterciennes","1150","1792"
"376","Cisterciens","1131","1790"
"377","Cisterciens","1134","1790"
"378","Cisterciens","1129","1790"
"379","Savigniens","1118","1147"
"379","Cisterciens","1147","1791"
"380","Cisterciens","1133","1791"
"381","Cisterciens","1168","1791"
"382","Cisterciennes","1228","1789"
"383","Cisterciennes","1167 ?","1790"
"384","Cisterciennes","1360","1791"
"385","Cisterciens","1147","1791"
"386","Bénédictines","1130","1245"
"386","Cisterciennes","1245","1791"
"387","Cisterciens","1150","1791"
"388","Cisterciens","1201","1791"
"389","Cisterciens","1201","1791"
"390","Savigniennes","1127","1147"
"390","Cisterciennes","1147","1792"
"391","Dominicains","1216","1220"
"391","Cisterciennes","1220","1790"
"392","Cisterciennes","1216","1220"
"392","Cisterciennes","1220","1791"
"393","Cisterciennes","1235","1792"
"394","Cisterciennes","1214","1778"
"395","Cisterciennes","1220","1652"
"395","Cisterciennes","1652","1790"
"396","Cisterciennes","1214","1778"
"397","Cisterciens","1128","1790"
